L,p,N,succes
34,0.092,100,86.05263158
34,0.093,100,84.21052632
34,0.094,100,82.60233918
34,0.095,100,80.52631579
34,0.096,100,78.59649123
34,0.097,100,76.5497076
34,0.098,100,75
34,0.099,100,73.07017544
34,0.100,100,70.81871345
34,0.101,100,69.26900585
34,0.102,100,66.8128655
34,0.103,100,65.11695906
34,0.104,100,62.22222222
34,0.105,100,60.55555556
26,0.092,100,83.80116959
26,0.093,100,82.39766082
26,0.094,100,80.84795322
26,0.095,100,79.79532164
26,0.096,100,77.66081871
26,0.097,100,76.40350877
26,0.098,100,74.70760034
26,0.099,100,73.21637427
26,0.100,100,71.19883041
26,0.101,100,69.64912281
26,0.102,100,68.24561404
26,0.103,100,66.49122807
26,0.104,100,64.56140351
26,0.105,100,63.15789474
18,0.092,100,81.92982456
18,0.093,100,80.55555556
18,0.094,100,78.85964912
18,0.095,100,78.21637427
18,0.096,100,76.9005848
18,0.097,100,75.70175439
18,0.098,100,73.91812065
18,0.099,100,72.92397661
18,0.100,100,71.69590643
18,0.101,100,70.29239766
18,0.102,100,69.26900585
18,0.103,100,68.15789474
18,0.104,100,66.49122807
18,0.105,100,65.14619883
10,0.092,100,79.23976608
10,0.093,100,78.50877193
10,0.094,100,77.69005848
10,0.095,100,76.78362573
10,0.096,100,75.84795322
10,0.097,100,75.02923977
10,0.098,100,74.18128655
10,0.099,100,73.5380117
10,0.100,100,72.60233918
10,0.101,100,71.6374269
10,0.102,100,70.81871345
10,0.103,100,69.88304094
10,0.104,100,69.32748538
10,0.105,100,67.86549708
